ポートフォリオ一覧（2024年12月01日現在）

普通口座
7203 トヨタ自動車,2024/01/15,100,2500,2650,15000,+6.00%,265000,----/--/--
6758 ソニーグループ,2024/02/10,50,12000,13500,75000,+12.50%,675000,----/--/--

NISA口座
AAPL APPLE INC,2024/01/10,10,27825,29370,15450,+5.55%,293700,----/--/--
MSFT MICROSOFT CORP,2024/02/15,15,63045,65340,34425,+3.65%,980100,----/--/--

投資信託（つみたてNISA）
ファンド名,約定日,保有口数,平均取得価額,基準価額,評価損益,損益率,評価額,満期日
eMAXIS Slim 全世界株式,2024/01/05,125420,1.6834,1.8234,175556,+8.30%,2287157,----/--/--
楽天・全米株式インデックス・ファンド,2024/03/05,45230,2.2120,2.3450,60084,+6.01%,1060699,----/--/--

合計
--,--,--,--,--,--,--,5061556,--
