Date,V,3350.T,NVDA,3825.T,2559.T,1542.T,INDA,FTN,YINN,XLV,1489.T,8801.T,SHY,9843.T,1364.T,VYM,8766.T,VDC,8630.T,EEM,254A.T,VTI,IWM,Z,IEF,BND,200A.T,2811.T,MSTR,BABA,224A.T,2530.T,8795.T,6072.T,MOS,380A.T,DLO,GLD,VS,8985.T,TDOC,STRL,9434.T,2019.T,9984.T,4707.T,IO,NVDU,EURJPY=X,8802.T,6367.T,PTON,FNGU,LYF,TSM,ADM,2631.T,COIN,VWO,1326.T,PLTR,7453.T,PFFD,180A.T,QQQ,VGK,8737.T,BNDX,MU,2413.T,8600.T,2647.T,TQQQ,1322.T,TMF,2620.T,SOXX,EBIZ,FUTU,VDE,PFF,VBK,CURE,EFA,5838.T,2914.T,9432.T,159A.T,1629.T,VEA,XL,SOXL,1656.T,3863.T,CWEB,EDV,2098.T,2563.T,282A.T,U,AGG,8473.T,BIDU,8173.T,TSLA,CLS,3778.T,DIS,2553.T,1545.T,9506.T,XLP,2568.T,USDJPY=X,VXUS,PSO,1651.T,CXSE,AMZN,PDD,VOO,ZM,2837.T,NOBL,MS,1615.T,3903.T,SPO,ACWI,SPYG,MARA,VIG,TMV,ICLN,1343.T,VXF
2018-01-01,,310.0,,,,,,,,,,,,,15876.0166015625,,1266.06689453125,,1083.3194580078125,,,,,,,,,,,,,,1474.548095703125,349.5024108886719,,,,,,60913.96484375,,,,,4235.99951171875,,,,135.24000549316406,1706.8377685546875,12127.5546875,,,,,,,,,,,,,,,,337.1765441894531,,,,472.25384521484375,,,5410.0,,,,,,,,,,,,2311.2783203125,,,28605.22265625,,,,,1863.7764892578125,,,,,,,,,,,,,,,,7121.046875,,,,,,,899.0888061523438,,,,,,,,,,,,,,,,,,,
2018-01-02,,310.0,,634.0309448242188,,5580.0,,8.869999885559082,,,877.3814086914062,715.8401489257812,,3026.211669921875,,,,,1083.3194580078125,39.98329925537109,,122.18647003173828,139.13145446777344,,,,,3806.925048828125,,174.41148376464844,,,1474.548095703125,349.5024108886719,,,,,15.778081893920898,60913.96484375,,,,,4236.0,293.6085510253906,,,,1706.8380126953125,12127.5556640625,,,,,,,,,13850.0,,1528.2281494140625,,,,,337.17657470703125,,,1901.3514404296875,472.2537536621094,,,5410.0,,,,,,,,,,55.60331726074219,,,80.95645904541016,,,,,,203.27378845214844,,,,,,,,,825.4114990234375,242.3999938964844,3115.71923828125,,,,,,,1158.97216796875,,,,,8.075013160705566,899.088623046875,,,,,,,,,155.40061950683594,1053.632080078125,,,30.71316337585449,,,,,1312.7718505859375,
2018-01-03,,310.0,,634.0309448242188,,5580.0,,9.005999565124512,,,877.3814086914062,715.8401489257812,,3026.211669921875,,,,,1083.3194580078125,40.36640167236328,,122.89370727539062,139.27606201171875,,,,,3806.925048828125,,174.74388122558594,,,1474.548095703125,349.5024108886719,,,,,15.820913314819336,60913.96484375,,,,,4236.0,293.6085510253906,,,,1706.8380126953125,12127.5556640625,,,,,,,,,13850.0,,1528.2281494140625,,,,,337.17657470703125,,,1901.3514404296875,472.2537536621094,,,5410.0,,,,,,,,,,55.870216369628906,,,80.95645904541016,,,,,,203.27378845214844,,,,,,,,,825.4114990234375,245.5500030517578,3115.71923828125,,,,,,,1158.97216796875,,,,,8.050570487976074,899.088623046875,,,,,,,,,155.40061950683594,1053.632080078125,,,30.980796813964844,,,,,1312.7718505859375,
2018-01-04,,330.0,,,,,,8.800000190734863,,,,,,,16304.046875,,1296.8504638671875,,1115.093994140625,,,,,,,,,,,,,,1502.860595703125,345.651123046875,,,,,15.83804416656494,61075.11328125,,15.760000228881836,,,4417.40576171875,,,,135.23399353027344,1766.0548095703125,12727.79296875,,,,,,,,,,,,,,,,353.5126342773437,,,,492.60943603515625,,,5570.0,,,,,,,,,,,,2343.105224609375,,,28605.22265625,,,,,1873.3477783203125,,,,,,,,,,,,10.670000076293944,,,,7295.67724609375,,46.048954010009766,,,45.53569030761719,,917.950439453125,,,,,,,,,,,,,,,,,,,
2018-01-05,,330.0,,,,,,8.819999694824219,,,,,,,16430.509765625,,1310.3948974609375,,1122.5411376953125,,,,,,,,,,,,,,1512.043212890625,349.5024108886719,,,,,16.000789642333984,61477.98828125,,15.390000343322754,,,4388.4384765625,,,,136.1219940185547,1797.4049072265625,12809.646484375,,,,,,,,,,,,,,,,352.2058410644531,,,,496.6807861328125,,,5800.0,,,,,,,,,,,,2320.189697265625,,,29626.8359375,,,,,1857.685791015625,,,,,,,,,,,,10.710000038146973,,,,7324.78271484375,,46.252071380615234,,,45.84051132202149,,927.3817138671876,,,,,,,,,,,,,,,,,,,
2018-01-08,,,,,,,,,,,900.2007446289062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1797.4046630859375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.62109375,,,,,,203.0301055908203,1857.685791015625,,,,,,,,,,,,,817.4881591796875,,,7324.78271484375,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-01-09,,340.0,,671.7354125976562,,5660.0,,8.86400032043457,,,911.9050903320312,793.8031005859375,,3083.665283203125,,,,,1126.761474609375,40.84943389892578,,124.5998306274414,139.9631805419922,,,,,3866.05322265625,,181.20181274414065,,,1524.286376953125,354.31646728515625,,,,,15.81234359741211,62847.75,,,,,4392.2373046875,301.5439147949219,,,,1821.788330078125,12800.5537109375,,,,,,,,,14090.0,,1549.997802734375,,,,,369.84869384765625,,,1934.9190673828125,494.2379760742188,,,5970.0,,,,,,,,,,56.843658447265625,,,82.97235870361328,,,,,,202.948974609375,,,,,,,,,964.8485717773438,254.72999572753903,3135.1435546875,,,,,,,1207.2291259765625,,,,,8.091310501098633,927.3817749023438,,,,,,,,,162.7655792236328,1091.8924560546875,,,31.5529727935791,,,,,1330.5115966796875,
2018-01-10,,350.0,,701.5021362304688,,5610.0,,8.819999694824219,,,914.033447265625,810.1043701171875,,3145.828369140625,,,,,1132.22265625,40.59126281738281,,124.40528106689452,139.98126220703125,,,,,3861.5048828125,,180.2426147460937,,,1552.2161865234375,356.2420959472656,,,,,15.718122482299805,63170.03125,,,,,4370.392578125,298.0170288085937,,,,1846.17138671875,12686.869140625,,,,,,,,,13960.0,,1519.520263671875,,,,,379.650390625,,,1903.7490234375,505.6372680664063,,,5920.0,,,,,,,,,,56.7337532043457,,,82.10184478759766,,,,,,202.948974609375,,,,,,,,,936.1204223632812,248.9499969482422,3100.17919921875,,,,,,,1212.054931640625,,,,,7.977237224578857,937.5982666015624,,,,,,,,,164.97508239746094,1102.683837890625,,,31.451461791992188,,,,,1337.1644287109375,
2018-01-11,,340.0,,683.6421508789062,,5640.0,,8.85200023651123,,,917.225341796875,813.931640625,,3126.991455078125,,,,,1125.520263671875,40.84110641479492,,125.4573211669922,142.385986328125,,,,,3770.53857421875,,179.2549285888672,,,1564.4593505859375,352.390869140625,,,,,15.880870819091797,63814.6328125,,,,,4330.97705078125,299.78045654296875,,,,1830.931884765625,12564.09375,,,,,,,,,13980.0,,1536.93603515625,,,,,387.4916687011719,,,1884.56787109375,504.822998046875,,,5960.0,,,,,,,,,,57.12626647949219,,,82.08657836914062,,,,,,202.3791046142578,,,,,,,,,914.0486450195312,250.22000122070312,3049.675048828125,,,,,,,1211.2503662109375,,,,,7.985383987426758,933.6691284179688,,,,,,,,,164.97508239746094,1105.626953125,,,31.64526557922364,,,,,1336.4254150390625,
2018-01-12,,,,,,,,,,,908.7130126953124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1815.6923828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.85688018798828,,,,,,199.20420837402344,1829.841796875,,,,,,,,,,,,,857.2944946289062,,,7382.99267578125,,,,,,,,,,,,,,,,,,,,,,,,,,
