security_name,security_code
さくらインターネット,3778.T
キタック,4707.T
ＡＮＹＣＯＬＯＲ,5032.T
地盤ネットホールディングス,6072.T
日本電信電話,9432.T
ISHARESCORE BOND,AGG
ARCHER DANIELS,ADM
ブラックロック・スーパー・マネー・マーケット・ファンド（米ドル） X0934000,USDJPY=X
VA TTL INTL BOND,BNDX
COINBASE GLOBAL,COIN
DRX CH INET BL2X,CWEB
DRX HEALTHC BL3X,CURE
WALT DISNEY CO,DIS
DLOCAL LTD,DLO
VA EXTD DURAT TR,EDV
GLX ECMMERCE ETF,EBIZ
SPDR GOLD MINI,GLD
GBLX US PREFERRD,PFF
LYFT INC,LYFT.US
MARATHON DIGITAL,MARA
MORGAN STANLEY,MS
MICROSTRATEGY,MSTR
MICRON TECH,MU
マイクロソフト MSFT / NASDAQ,MSFT.US
PDD HOLDINGS INC,PDD
PALANTIR TECHNO,PLTR
PELOTON INTERACT,PTON
SPOTIFY TECH,SPOT.US
TELADOC HEALTH,TDOC
TESLA INC,TSLA
DRX DL 20TR BL3X,TMF
TAIWAN SEMI ADR,TSM
UNITY SOFTWARE,U
GS米ドルファンド,USDJPY=X
VA ENERGY,VDE
VA CONSUMER STAP,VDC
VA EXTD MARKET,VXF
VNG DIV APR,VIG
VISA INC,V
VANGUARD TTL MKT,VOO
楽天・全米株式インデックス・ファンド（楽天・バンガード・ファンド（全米株式）），VOO,
ＮＥＸＴ　ＦＵＮＤＳ　ＪＰＸプライム１５０指数連動型上場投信,2017.T
VA S-CAP GROWTH,VBK
ＮＦ銀行業,1615.T
VNG HI DIV YIELD,VYM
ＮＦ日経高配当５０,1489.T
ダイワＴＰＸ高配当４０,1489.T
ＮＥＸＴ　ＦＵＮＤＳ　日経平均高配当株５０指数連動型上場投信,1489.T
ＩＦ　ＴＰＸ高配当４０,1489.T
ＮＥＸＴ　ＦＵＮＤＳ　東証ＲＥＩＴ指数連動型上場投信,1343.T
NZAM・ベータ 日本REIT,1343.T
WT CH EX STATE,CXSE
SPDR SP500 GRWTH,VOO
CONS STP SS SPDR,XLP
DRX FTSE CH BL3X,YINN
ZILLOW GROUP C,Z
ZOOM VIDEO COMMU,ZM
AMAZON.COM INC,AMZN
ノーザン・トラスト・米ドル・リクイディティ・ファンド(楽天・米ドルMMF),USDJPY=X
eMAXIS Slim 全世界株式(オール・カントリー),ACWI
eMAXIS Slim 米国株式(S&P500),VOO
eMAXIS Slim 先進国債券インデックス,BNDX
ニッセイ新興国株式インデックスファンド,VWO
＜購入・換金手数料なし＞ニッセイ新興国株式インデックスファンド,VWO
ＳＢＩ・Ｖ・全米株式インデックス・ファンド,VTI
ＳＢＩ・Ｊ−ＲＥＩＴ（分配）ファンド（年４回決算型）,1343.T
Tracers S&P500トップ10インデックス(米国株式),OEF
Ｔｒａｃｅｒｓ　Ｓ＆Ｐ５００トップ１０インデックス　米国株式,OEF
楽天・全米株式インデックス・ファンド(楽天・VTI),VTI
楽天・米国高配当株式インデックス・ファンド,VYM
iFreeNEXT FANG+インデックス,FNGS
ｉＦｒｅｅＮＥＸＴ　ＦＡＮＧ＋インデックス,FNGS
iFreeNEXT NASDAQ100インデックス,QQQ
ｉＦｒｅｅＮＥＸＴ　ＮＡＳＤＡＱ１００インデックス,QQQ
Tracers S&P500配当貴族インデックス(米国株式),NOBL
Ｔｒａｃｅｒｓ　Ｓ＆Ｐ５００配当貴族インデックス　米国株式,NOBL
ゴールド・ファンド(為替ヘッジなし),GLD
Tracers S&P500ゴールドプラス,GLD
auAM Nifty50インド株ファンド,INDY
ＳＢＩ・ｉシェアーズ・ＴＯＰＩＸインデックス・ファンド,1475.T
ＳＢＩ・全世界株式インデックス・ファンド(雪だるま（全世界株式）),ACWI
ＳＢＩ・新興国株式インデックス・ファンド(雪だるま（新興国株式）),VWO
ＭＡＸＩＳ　ＨｕａＡｎ中国株式（上海１８０Ａ株）上場投信,1309.T
iFree JPXプライム150,2017.T
iFreeレバレッジ NASDAQ100,QLD
Ｔｒａｃｅｒｓ　日経平均高配当株５０インデックス奇数月分配型,1489.T
SBI・iシェアーズ・全世界債券インデックス・ファンド,BNDW
ＳＢＩ・ｉシェアーズ・ゴールドファンド（為替ヘッジなし）,IAU
楽天・SOXインデックス・ファンド(楽天・SOX),SOXX
＜購入・換金手数料なし＞ニッセイＳＯＸ指数インデ米国半導体株,SOXX
グローバル5.5倍バランスファンド,AOA
ＲＯＢＯＰＲＯファンド,ACWI
香港ハンセン指数ファンド,2800.HK
ＳＢＩホールディングス,8473.T
eMAXIS Slim 新興国株式インデックス,VWO
上場インデックスファンド中国Ａ株パンダＥＦｕｎｄＣＳＩ３００,1322.T
ＮＥＸＴ　ＦＵＮＤＳ　東証銀行業株価指数連動型上場投信,1615.T
＜購入・換金手数料なし＞ニッセイ 外国株式インデックスファンド,VEA
＜購入・換金手数料なし＞ニッセイＪリートインデックスファンド,1343.T
楽天・米国レバレッジバランス・ファンド(USA360),AOA
楽天・米国レバレッジバランス・ファンド,AOA
SMT MIRAIndex エコ,ICLN
ＳＢＩ岡三・ＵＳドル・マネー・マーケット・ファンド（米ドル） X6587000,USDJPY=X
＜購入・換金手数料なし＞ニッセイＮＡＳＤＡＱ１００インデ,QQQ
ＳＢＩサウジアラビア株式インデックス・ファンド,KSA
Tracers グローバル2倍株(地球コンプリート),ACWI
SMT ゴールドインデックス・オープン(為替ヘッジなし),GLD
ｅＭＡＸＩＳ　ＮＡＳＤＡＱ１００インデックス,QQQ
ａｕＡＭ　Ｎｉｆｔｙ５０インド株ファンド,INDY
ＳＢＩ欧州高配当株式（分配）ファンド（年４回決算型）,VGK
Tracers 日経平均高配当株50インデックス(奇数月分配型),1489.T
ＮＥＸＴ　ＦＵＮＤＳ　日経半導体株指数連動型上場投信,200A.T
